Validator,PT_VERSION,2.5.0
Validator,ROCBLAS_VERSION,4.2.0-54f305c1-dirty
Validator,HIPBLASLT_VERSION,1000-e6da924d
Validator,ROCM_VERSION,6.2.0.0-66-98a50c5
Validator,GCN_ARCH_NAME,gfx942:sramecc+:xnack-
GemmTunableOp_Half_TN,tn_7168_8_8192,Gemm_Rocblas_621282073,0.0369444
GemmTunableOp_Half_TN,tn_8192_176_1024,Gemm_Rocblas_621282236,0.0232572
GemmTunableOp_Half_TN,tn_8192_144_1024,Gemm_Rocblas_621282236,0.0232037
GemmTunableOp_Half_TN,tn_16032_248_8192,Gemm_Rocblas_621282245,0.170048
GemmTunableOp_Half_TN,tn_8192_152_3584,Gemm_Hipblaslt_TN_90721,0.0438494
GemmTunableOp_Half_TN,tn_7168_40_8192,Gemm_Hipblaslt_TN_90698,0.0458681
GemmTunableOp_Half_TN,tn_7168_80_8192,Gemm_Hipblaslt_TN_90721,0.0544225
GemmTunableOp_Half_TN,tn_7168_120_8192,Gemm_Rocblas_621282196,0.0603719
GemmTunableOp_Half_TN,tn_7168_16_8192,Gemm_Rocblas_621285089,0.0367677
GemmTunableOp_Half_TN,tn_7168_2048_8192,Gemm_Hipblaslt_TN_91072,0.377059
GemmTunableOp_Half_TN,tn_1280_216_8192,Gemm_Rocblas_621282194,0.0354059
GemmTunableOp_Half_TN,tn_1280_176_8192,Gemm_Rocblas_621282194,0.0330983
GemmTunableOp_Half_TN,tn_1280_88_8192,Gemm_Rocblas_621282052,0.0265832
GemmTunableOp_Half_TN,tn_1280_40_8192,Gemm_Hipblaslt_TN_90632,0.0208333
GemmTunableOp_Half_TN,tn_1280_24_8192,Gemm_Rocblas_621282045,0.0192343
GemmTunableOp_Half_TN,tn_8192_2048_1024,Gemm_Rocblas_621282332,0.0770373
GemmTunableOp_Half_TN,tn_8192_240_1024,Gemm_Rocblas_621282211,0.0235233
GemmTunableOp_Half_TN,tn_8192_192_1024,Gemm_Rocblas_621282237,0.0214797
GemmTunableOp_Half_TN,tn_8192_208_3584,Gemm_Rocblas_621282262,0.0486794
GemmTunableOp_Half_TN,tn_1280_32768_8192,Gemm_Hipblaslt_TN_91169,1.1118
GemmTunableOp_Half_TN,tn_1280_144_8192,Gemm_Rocblas_621282190,0.0304603
GemmTunableOp_Half_TN,tn_8192_168_3584,Gemm_Rocblas_621282236,0.0442472
GemmTunableOp_Half_TN,tn_8192_48_1024,Default,0.0169481
GemmTunableOp_Half_TN,tn_1280_512_8192,Gemm_Rocblas_621282259,0.0470495
GemmTunableOp_Half_TN,tn_8192_512_3584,Gemm_Hipblaslt_TN_90396,0.0743673
GemmTunableOp_Half_TN,tn_7168_128_8192,Gemm_Rocblas_621282199,0.0574397
GemmTunableOp_Half_TN,tn_8192_104_3584,Gemm_Rocblas_621282196,0.0349087
GemmTunableOp_Half_TN,tn_1280_64_8192,Gemm_Rocblas_621282173,0.0221719
GemmTunableOp_Half_TN,tn_8192_16384_3584,Gemm_Hipblaslt_TN_91041,1.46266
GemmTunableOp_Half_TN,tn_16032_216_8192,Gemm_Hipblaslt_TN_90250,0.149958
GemmTunableOp_Half_TN,tn_16032_152_8192,Gemm_Hipblaslt_TN_90730,0.135132
GemmTunableOp_Half_TN,tn_8192_136_3584,Gemm_Rocblas_621282236,0.0410549
GemmTunableOp_Half_TN,tn_1280_112_8192,Gemm_Rocblas_621282190,0.027165
GemmTunableOp_Half_TN,tn_8192_88_1024,Gemm_Rocblas_621282196,0.0187268
GemmTunableOp_Half_TN,tn_16032_96_8192,Gemm_Rocblas_621282234,0.0910676
GemmTunableOp_Half_TN,tn_16032_2048_8192,Gemm_Hipblaslt_TN_90956,0.913905
GemmTunableOp_Half_TN,tn_7168_168_8192,Gemm_Hipblaslt_TN_90530,0.0720434
GemmTunableOp_Half_TN,tn_8192_104_1024,Default,0.0185569
GemmTunableOp_Half_TN,tn_8192_168_1024,Gemm_Rocblas_621282237,0.021446
GemmTunableOp_Half_TN,tn_7168_512_8192,Gemm_Rocblas_621282246,0.131174
GemmTunableOp_Half_TN,tn_8192_224_1024,Gemm_Rocblas_621282206,0.0221517
GemmTunableOp_Half_TN,tn_8192_152_1024,Gemm_Rocblas_621282237,0.0214128
GemmTunableOp_Half_TN,tn_7168_216_8192,Gemm_Rocblas_621282262,0.0796406
GemmTunableOp_Half_TN,tn_8192_1_1024,Gemm_Rocblas_621282070,0.0161153
GemmTunableOp_Half_TN,tn_8192_8_1024,Gemm_Rocblas_621282070,0.0161129
GemmTunableOp_Half_TN,tn_8192_16_1024,Gemm_Rocblas_621282070,0.0160748
GemmTunableOp_Half_TN,tn_8192_240_3584,Gemm_Rocblas_621282262,0.0490435
GemmTunableOp_Half_TN,tn_16032_24_8192,Gemm_Rocblas_621285096,0.0673771
GemmTunableOp_Half_TN,tn_8192_24_1024,Gemm_Rocblas_621282073,0.0163837
GemmTunableOp_Half_TN,tn_8192_32_1024,Gemm_Rocblas_621282083,0.0161489
GemmTunableOp_Half_TN,tn_8192_40_1024,Gemm_Rocblas_621282194,0.0171328
GemmTunableOp_Half_TN,tn_8192_56_1024,Gemm_Rocblas_621285094,0.0170346
GemmTunableOp_Half_TN,tn_8192_72_1024,Gemm_Rocblas_621282195,0.0181989
GemmTunableOp_Half_TN,tn_8192_128_1024,Default,0.0180898
GemmTunableOp_Half_TN,tn_1280_248_8192,Gemm_Rocblas_621282194,0.0368236
GemmTunableOp_Half_TN,tn_1280_200_8192,Gemm_Rocblas_621282190,0.0345084
GemmTunableOp_Half_TN,tn_1280_16_8192,Default,0.0189491
